"When can a bank initiate a corporate insolvency resolution process in relation to a corporate
debtor?";"On determination of default by National Company Law Tribunal";"Occurrence of default.";"On net-worth of the debtor becoming negative.";"On the bank classified the account as Non-Performing Asset.
";2;"Answer: 2"
"The Adjudicating Authority shall appoint an Interim Resolution Professional within ......... days of
the insolvency commencement date.";7;14;21;28;2;"Answer: 2"
"Can an interim resolution professional act as the resolution professional?";"No, as it involves conflict of interest.";"Yes, if appointed by the committee of creditors with not less than 75% of the voting share of the
creditors";"Yes, if appointed by the committee of creditors with votes of not less than 75% of the creditors.";"Yes, if appointed at a meeting of the committee of creditors with a majority of the creditors
present and voting";2;"Answer: 2"
"Which one of the following is a pre-requisite for preparation of a resolution plan?";"Formation of Committee of Creditors.";"Valuation of liquidation estate by at least three registered valuers.";"Vetting of default from at least one information utility";"Receipt of resolution plan(s) from financial creditors of the corporate debtor";1;"Answer: 1"
"Who cannot initiate a fast track corporate insolvency resolution process?";"financial creditor";"operational creditor";"corporate debtor";"insolvency professional
";4;"Answer: 4"
"Under which of the following circumstances, liquidation may not commence under the
Insolvency and Bankruptcy Code, 2016?";" Non-receipt of a resolution plan during the insolvency resolution period";"The resolution plan approved by the adjudicating authority is contravened by a financial
creditor";"The resolution plan approved by the adjudicating authority is contravened by the corporate
debtor.";"The committee of creditors decides to liquidate the corporate debtor before confirmation of a
resolution plan.
";2;"Answer: 2"
"An application against the decision of the liquidator rejecting the claim of a creditor may be
made to �";"the Insolvency and Bankruptcy Board of India";"the National Company Law Tribunal.";" the committee of creditors.
";"the Debt Recovery Tribunal";2;"Answer: 2"
"The corporate debtor shall not be deemed to have given a preference if";"the transfer of property is for the benefit of a surety";"the transfer of property is on account of an antecedent financial debt.";"the transfer creates a security interest in a property to the extent that such security interest secures new value";"the transfer has the effect of putting the transferee in a position better than what would have been in the event of distribution of assets under section 53";3;"Answer: 3"
"Debts owed to a secured creditor in the event such secured creditor has relinquished security ranks equally with �";"Insolvency resolution process costs";"Workmen�s dues for a period of 24 months prior to liquidation commencement date";"Wages and any unpaid dues owed to employees other than workmen for the period of twelve months preceding the liquidation commencement date";"Dues to Central Government.";2;"Answer: 2"
"Which of the following is not a requirement of voluntary liquidation of a company under the Insolvency and Bankruptcy Code, 2016?";"Declaration of solvency by the members of the company";"Declaration from majority of Directors of the company to the effect that the company has no debt or it will be able to pay its debts in full.";"The company has not committed any default.";" Declaration from majority of Directors of the company to the effect that the company is not being liquidated to defraud any person.";1;"Answer: 1"
"A debtor may make an application for a fresh start for discharge of�..";" all debts.";"bankruptcy debts.";"qualifying debts";"operational debts.";3;"Answer: 3"
"A debtor is eligible to apply for insolvency resolution process if he ����";"is undergoing a fresh start process.";"is undergoing a bankruptcy process.";"is an undischarged bankrupt.";"has not faced a previous insolvency resolution process during the period of twelve months preceding the date of submission of the application.";4;"Answer: 4"
"Repayment plan has to be approved by ��..";"a majority of creditors";"3/4th in value of the creditors present in person or by proxy.";"3/4th in value of the creditors";") 3/4th of the creditors present in person or by proxy.";2;"Answer: 2"
"An application for bankruptcy by the debtor can be withdrawn with the leave of the �..";"Insolvency and Bankruptcy Board of India.";"Adjudicating Authority.";"National Company Law Appellate Tribunal.";"Committee of Creditors";2;"Answer: 2"
"Who shall prepare the list of creditors after the passing of the bankruptcy order?";"Bankruptcy trustee";"Adjudicating Authority";"Insolvency Professional Entity";") Information Utility";1;"Answer: 1"
"The estate of the bankrupt shall vest in the bankruptcy trustee from the date of ��";"acceptance of the bankruptcy application.";"passing of the bankruptcy order.";"appointment of bankruptcy trustee.";"issuance of public notice.";3;"Answer: 3"
"A committee of creditors comprises of ���.";"financial and operational creditors.";"secured creditors only.";"all financial creditors.";"independent financial creditors only.";4;"Answer: 4"
"Under the code of conduct, an insolvency professional is not obliged to ��..";"take reasonable care and diligence while performing his duties.";") comply with all requirements and terms and conditions of his admission to the insolvency professional entity.";"comply with all requirements and terms and conditions of his admission to the insolvency professional agency";"submit a copy of the records of every proceeding before the Adjudicating Authority to the Insolvency and bankruptcy Board of India.";2;"Answer: 2"
"An Information Utility is not obliged to ���.";"create and store financial information.";"accept electronic submissions of financial information.";"publish statistical information.";"publish statistical information.";4;"Answer: 4"
"The Insolvency and Bankruptcy Board of India may order any person to act as investigating authority to conduct an investigation of �.";"Committee of Creditors";"Resolution Applicant.";"Insolvency Professional Agency.";"Insolvency Professional Entity";3;"Answer: 3"
