"Which of the existing taxes are not proposed to be subsumed under GST";"Central Excise duty ";"Custom Duty";"Service Tax";"Additional Duties of Excise";2;"The GST would replace the following taxes: Central Excise duty ,  Duties of Excise (Medicinal and Toilet Preparations), Additional Duties of Excise,Special Additional Duty of Customs , Service Tax , VAT ,CST , Luxary Tax , Entry Tax  & Many more But Not Custom Duty."
"Which are the commodities Not proposed to be kept outside the purview of GST";"Petroleum Products";"Alcohol for human consumption";"Books";" Natural gas";3;"Books are within purview of GST. Commodities are kept outside purview of gst is Alcohol for human consumption, Petroleum Products viz. petroleum crude, motor spirit (petrol), high speed diesel, natural gas and aviation turbine fuel& Electricity"
"In India GST came effective from July 1st, 2017. Which model India has chosen for dual GST";"UK ";"USA";"CHINA";"CANADIAN";4;"In India GST came effective from July 1st, 2017. Canadian model India has chosen for dual GST"
"What type of GST is proposed to be implemented";"Central GST (CGST)";"State GST (SGST)";"Integrated GST (IGST)";"All of the Above";4;"It would be a dual GST with the Centre and States simultaneously levying it on a common tax base. The GST to Central GST (CGST) , State GST (SGST) , Integrated GST (IGST) &  UNION TERRITORY GST (UTGST)"
"Which authority will levy and administer GST";"Central Government";"State Governmant";"Both";"None of the Above";3;" Central Government will levy and administer CGST & IGST while respective state Governments will levy and administer SGST"
"How many countries have dual GST model";3;5;10;"None of the above";4;"Till now Canada only has dual GST model but now India also started to use dual-GST model"
"Under Indian Constitution which article empowers to Levy & Collect IGST";"Article 269A of the Constitution";"Article 265 of the Constitution";"Article 267 of the Constitution";"Article 269B of the Constitution";1;"Under Article 269A of the Constitution, the GST on supplies in the course of inter- State trade or commerce shall be levied and collected by the Government of India and such tax shall be apportioned between the Union and the States in the manner as may be provided by Parliament by law on the recommendations of the Goods and Services Tax Council"
"Who will Recommend the rates for levy of GST";"Central Government";"State Governmant";"Central or State Government";"GST Council";4;"The CGST and SGST would be levied at rates to be jointly decided by the Centre and States. The rates would be notified on the recommendations of the GST Council"
"Which of the following country has the maximum GST tax slab";"India";"China ";"USA";"UK";1;"India has the maximum tax slab (28%) compared to other countries"
"A mixed supply comprising of two or more supplies shall be treated as supply of that particular supply that attracts ";"Highest rate of tax";"Lowest rate of tax";"Mixed rate of tax";"None of the Above";1;"a mixed supply comprising of two or more supplies shall be treated as supply of that particular supply that attracts highest rate of tax"
"How Many Members of the GST Council shall constitute the quorum at its meetings";"One Third";"One Forth";"One Half";"One";3;" One half of the total number of members of the GST Council shall constitute the quorum at its meetings"
"Who is liable to pay GST under the proposed GST";"Supply of Goods";"Supply of Services";"Both";"None of the Above";3;"Under the GST regime, tax is payable by the taxable person on the supply of goods and/or services"
"Liability to pay tax arises when the taxable person crosses the threshold exemption is ";"10 Lakhs";"4 Lakhs";"15 Lakhs";"20 Lakhs";4;"Liability to pay tax arises when the taxable person crosses the threshold exemption, i.e. Rs.20 lakhs (Rs. 10 lakhs for Northest States) except in certain specified cases where the taxable person is liable to pay GST even though he has not crossed the threshold limit. The CGST / SGST is payable on all intra-State supply of goods and/or services and IGST is payable on all inter- State supply of goods and/or services. "
"Which of the following country has the second highest tax slab";"Australia";"Argentina";"USA";"Ireland";2;"After india Argentina has maximum rate of GST (27%)"
"Which service are included in Negative list of GST";"Services by an employee to the employer in the course of or in relation to his employment";"Services by any court or Tribunal established under any law for the time being in force";"Services of funeral, burial, crematorium or mortuary including transportation of the deceased";"All of the above";4;"Above mention all Services are included in Negative list of GST"
"The CGST /SGST and IGST are payable at the rates specified in the";"Acts";" Schedules to the respective Acts";"Finance Act";"None of the Above";2;"The CGST /SGST and IGST are payable at the rates specified in the Schedules to the respective Acts"
