10,"Intermediate Combo",180,18000,"This package includes Five Probable Question Papers for all the subjects in Intermediate Exam<BR />P5 Financial Accounting<BR />P6 Laws, Ethics & Governance<BR />P7 Direct Tax <BR />P8 Cost Accounting & Financial Management<BR />P9 Operations Management & Information Systems<BR />P10 Cost Accounting & Financial Management<BR /> P11 Indirect Taxation<BR />P12 Company Accounts & Audit<BR /><BR />... along with the important study material.","null","268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449",0,"CMA","Inter","Group 1 & 2","All (P5 to P12)",13/11/16 23:56,13/11/16 23:56
11,"Group One Combo",180,10000,"This package includes Five Probable Question Papers for all the subjects in Group One(Inter)<BR />P5 Financial Accounting<BR />P6 Laws, Ethics & Governance<BR />P7 Direct Tax <BR />P8 Cost Accounting & Financial Management<BR /><BR />... along with the important study material.","null","268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",0,"CMA","Inter","Group 1","All (P5, P6, P7, P8)",13/11/16 23:58,13/11/16 23:58
12,"Group Two Combo",180,10000,"This package includes Five Probable Question Papers for all the subjects in Group Two(Inter)<BR />P9 Operations Management & Information Systems<BR />P10 Cost Accounting & Financial Management<BR /> P11 Indirect Taxation<BR />P12 Company Accounts & Audit<BR /><BR />... along with the important study material.","null","356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449",0,"CMA","Inter","Group 2","All (P9, P10, P11, P12)",14/11/16 00:00,14/11/16 00:00
13,"Paper 5 : Financial Accounting",180,3000,"This package includes Five Probable Question Papers for FINANCIAL ACCOUNTING along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287",0,"CMA","Inter","Group 1","FINANCIAL ACCOUNTING ",14/11/16 00:02,14/11/16 00:02
14,"Paper 6 : Laws, Ethics & Governance",180,3000,"This package includes Five Probable Question Papers for LAWS, ETHICS AND GOVERNANCE along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309",0,"CMA","Inter","Group 1","LAWS, ETHICS & GOVERNANCE  ",14/11/16 00:10,14/11/16 00:10
15,"Paper 7 : Direct Tax",180,3000,"This package includes Five Probable Question Papers for DIRECT TAXATION along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc. ","null","310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332",0,"CMA","Inter","Group 1","DIRECT  TAX",14/11/16 00:12,14/11/16 00:12
16,"Paper 8 : Cost Accounting & Financial Management",180,3000,"This package includes Five Probable Question Papers for COST ACCOUNTING AND FINANCIAL MANAGEMENT along with the important study material. <BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc. ","null","333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",0,"CMA","Inter","Group 1","COST ACCOUNTING & FINANCIAL MANAGEMENT ",14/11/16 00:13,14/11/16 00:13
17,"Paper 9 : Operations Management & Information Systems",180,3000,"This package includes Five Probable Question Papers for OPERATION MANAGEMENT AND INFORMATION SYSTEMS along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc. ","null","425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449",0,"CMA","Inter","Group 2","OPERATIONS MANAGEMENT & INFORMATION SYSTEMS ",14/11/16 00:15,14/11/16 00:15
18,"Paper 10 : Cost Accounting & Financial Management",180,3000,"This package includes Five Probable Question Papers for COST & MANAGEMENT ACCOUNTANCY along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378",0,"CMA","Inter","Group 2","COST ACCOUNTING & FINANCIAL MANAGEMENT  ",14/11/16 00:16,14/11/16 00:16
19,"Paper 11 : Indirect Tax",180,3000,"This package includes Five Probable Question Papers for INDIRECT TAXATION along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc. ","null","379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402",0,"CMA","Inter","Group 2","INDIRECT TAXATION ",14/11/16 00:17,14/11/16 00:17
